total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy
7819104,106613.866666667,2703.77333333333,2662524.58666667,2097148,5846916.55333333,427012.766666667,5419903.78666667,8,1874816,54046.4333333333,665.793333333333,3842,20,20387,52149.4972141733
7819104,339456.675105485,3134.26160337553,2870653.92405063,2097148,5779471.19831224,293667.383966245,5485803.81434599,8,1979787.34177215,2863.80168776371,575.037974683544,3764.59915611814,20,8153,17649.5122773936
7819104,242250.254901961,3053,2884615.94117647,2097148,6035515.59313726,404032.142156863,5631483.45098039,8,2014682.35294118,6114.56862745098,566.857843137255,3770,20,5980,12779.5833303922
7819104,195136.338308458,3014.33333333333,2892117.35323383,2097148,6719150.88059702,471765.726368159,6247385.15422886,8,1869564.17910448,9393.09452736318,490.970149253731,3770,20,5941,10996.5382858209
7819104,194160.303030303,3013.01515151515,2891802.94949495,2097148,6738548.65656566,397199.080808081,6341349.57575758,8,1846884.84848485,12559.4898989899,451.868686868687,3770,20,6044,10296.2256747475
7819104,193107.656565657,3011.81818181818,2891637.01010101,2097148,6463033.73737374,345198.666666667,6117835.07070707,8,1853381.81818182,15717.5404040404,497.747474747475,3775.37373737374,20,5815,10927.4476563932
7819104,217435.75879397,3035.84924623116,2891867.59798995,2097148,6538181.45226131,379830.175879397,6158351.27638191,8,1857382.91457286,18948.1859296482,451.844221105528,3789,20,5979,10236.2737297839
7819104,240256.835820896,3059.45771144279,2893238.4079602,2097148,6669781.9800995,377436.905472637,6292345.07462687,8,1879880.59701493,22128.5074626866,450.119402985075,3789,20,6030,10284.17958
7819104,278159.386138614,3096.90099009901,2893637.22772277,2097148,6701694.65346535,436972.118811881,6264722.53465347,8,1891200,25302.4504950495,496.183168316832,3792.44554455446,20,5992,11275.4318946288
7819104,277913.671641791,3097.69651741294,2894732.7761194,2097148,6617987.31343284,432732.547263682,6185254.76616915,8,1920000,28462.9751243781,435.034825870647,3801.57711442786,20,6118,10118.0612037388
7819104,280719.921182266,3103.03940886699,2897432.1773399,2097148,6761799.25123153,595928.472906404,6165870.77832512,8,2131862.06896552,22282.3103448276,-433.995073891626,3939.56157635468,20,6022,-10296.1164115674
7819104,360618.866666667,3185.8,2902251.06666667,2097148,8962410.43333333,1176884.03333333,7785526.4,8,2803200,9590.68333333333,740.6,3726,20,6223,17172.2166588
7819104,358502.965517241,3183.75862068966,2902257.86206897,2097148,9022033.79310345,1432575.17241379,7589458.62068966,8,2803200,10495.275862069,763.741379310345,3726,20,6076,17290.4755046897
7819104,357779.586206897,3183.05172413793,2902262.20689655,2097148,8953756.5862069,1550194.93103448,7403561.65517241,8,2785324.13793103,11379.8965517241,703.965517241379,3726,20,5963,15640.8030093103
7819104,357676.13559322,3183,2902266.0338983,2097148,9201724.86440678,1149472.66101695,8052252.20338983,8,2785627.11864407,12271.9491525424,672.237288135593,3726,20,6148,15399.2407216271
7819104,357433.862068966,3182.63793103448,2902272.82758621,2097148,8874646.74137931,1073641.63793103,7801005.10344828,8,2782675.86206897,13170.4827586207,657.465517241379,3823,20,6002,15085.9710158276
7819104,356994.576271186,3182.40677966102,2902278.50847458,2097148,8829703.84745763,1283802.01694915,7545901.83050847,8,2785627.11864407,14069.813559322,733.169491525424,3725,20,6061,16552.9325733051
7819104,355771.79661017,3181.10169491525,2902282.71186441,2097148,9616764.42372881,1383261.10169492,8233503.3220339,8,2768054.23728814,14960.6101694915,739.305084745763,3725,20,6064,16699.7189762712
7819104,356296.965517241,3181.62068965517,2902287.86206897,2097148,8417205.62068966,1175332.79310345,7241872.82758621,8,2803200,15846.9655172414,763.965517241379,3725,20,5981,17020.5596508621
7819104,355452.912280702,3180.75438596491,2902286.87719298,2097148,9619622.15789474,1472519.56140351,8147102.59649123,8,2770863.15789474,16715.9824561404,705.578947368421,3725,20,5870,15428.0128684211
7819104,355330.413793103,3180.72413793103,2902288.62068966,2097148,9420910.29310345,1166182.43103448,8254727.86206896,8,2786648.27586207,17582.9137931035,654.965517241379,3725,20,5998,14633.5998172414
7819104,355630.915254237,3181.15254237288,2902355.38983051,2097148,8763812.40677966,1038793.69491525,7725018.71186441,8,2803200,18486.813559322,648.271186440678,3725,20,6107,14747.2457050847
7819104,355139.24137931,3180.46551724138,2902355.72413793,2097148,8692544.84482759,1111311.87931035,7581232.96551724,8,2803200,19382.5172413793,761.534482758621,3706,20,6004,16944.7697457931
7819104,354062.733333333,3179.46666666667,2902356,2097148,8877146.21666667,1196188.21666667,7680958,8,2781760,20282.15,729.5,3830,20,6174,17250.06339
7819104,354498.620689655,3180,2902489.93103448,2097148,8902133.17241379,1305469.5862069,7596663.5862069,8,2803200,21176.275862069,735.862068965517,3830,20,6038,17017.2077103448
7819104,353385.866666667,3179.1,2902516,2097148,9338877.18333333,1262871.58333333,8076005.6,8,2803200,22076.8,673.483333333333,3830,20,6150,15863.563175
7819104,352234.896551724,3177.96551724138,2902515.5862069,2097148,9619095.32758621,1035295.60344828,8583799.72413793,8,2785324.13793103,22962.5172413793,650.413793103448,3830,20,5990,14921.5981172414
7819104,351054.551724138,3176.63793103448,2902502.96551724,2097148,8673376.84482759,1289501.39655172,7383875.44827586,8,2803200,23845.6896551724,771.551724137931,3830,20,5987,17691.8430603448
7819104,350018.206896552,3175.62068965517,2902488.20689655,2097148,8790057.93103448,1279285.24137931,7510772.68965517,8,2803200,24727.224137931,744.137931034483,3830,20,5946,16946.3870482759
7819104,350145.172413793,3175.8275862069,2902487.72413793,2097148,9346532.01724138,1774725.39655172,7571806.62068966,8,2803200,25604.0517241379,714.189655172414,3828,20,6030,16485.52554
7819104,385777.824561403,3210.57894736842,2902491.29824561,2097148,10636897.5614035,1528865.98245614,9108031.57894737,8,2803200,26460.8245614035,667.298245614035,3828,20,5880,15019.9759831579
