total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
5716056,80778.5301204819,1530.1686746988,1486545.27710843,2621436,8139173.47590362,1013083.98192771,7126089.4939759,8,1823537.34939759,78220.8734939759,351.481927710843,3839,20,21638,29196.9998889879,
5716056,78493.5804878049,1191.29268292683,1141719.64878049,2621436,9174787.23902439,801283.395121951,8373503.84390244,8,2134197.07317073,18808.2195121951,748.956097560976,3913,20,12536,36738.8190695024,
5716056,108347.146341463,1261.06707317073,1183518.29268293,2621436,7700061.68292683,890618.317073171,6809443.36585366,8,1826926.82926829,25669.4146341463,375.036585365854,3836,20,17325,24924.4439158537,
5716056,84884,1293.92156862745,1240714.11764706,2621436,13629315.745098,1906474.49019608,11722841.254902,8,2323200,30759.0588235294,668.078431372549,3831,20,24547,62825.7997275294,
5716056,102946.294117647,1272.24264705882,1200467.58823529,2621436,8948616.41176471,1259609.29411765,7689007.11764706,8,2220564.70588235,34107.4117647059,685.102941176471,3831,20,13604,35705.4579174706,
5716056,90835.8527607362,1229.79754601227,1168983.41104294,2621436,7561919.52147239,842362.024539877,6719557.49693252,8,1804800,42571.1533742331,348.165644171779,3831,20,22157,29553.506967589,
5716056,66787.974522293,1245,1208672.22929936,2621436,7744903.87898089,919809.917197452,6825093.96178344,8,1808101.91082803,56396.7197452229,343.305732484076,3831,20,21967,28891.0920046051,
5716056,84287.7037037037,1553.16666666667,1506851.92592593,2621436,13514919.0740741,1783150.03703704,11731769.037037,8,2323200,67219.037037037,644.703703703704,3831,20,21609,53371.202339,
5716056,88280.2909090909,1570.81818181818,1520779.27272727,2621436,12911551.2181818,1403962.27272727,11507588.9454545,8,2305745.45454545,71283.7090909091,675.654545454545,3873,20,21469,56180.2950610364,
5716056,83599.5820895522,1555.25373134328,1509546.3880597,2621436,13362575.4029851,2070531.34328358,11292044.0597015,8,2279641.79104478,76035.4626865672,787.492537313433,3873,20,20708,63158.5426269851,
5716056,91026.7777777778,1352.26111111111,1294183.93333333,2621436,7615303.76111111,995351.005555556,6619952.75555556,8,1887360,96315.9166666667,454.788888888889,3845,20,23182,40537.5121054444,
