total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
5750640,566836.406779661,2252.4406779661,1740554.57627119,2097148,11637548.7457627,2433158.6440678,9204390.10169492,8,2211101.69491525,39041.3220338983,-1118.15254237288,3640,20,6570,26740.394420339,note9
5750640,518409.898305085,2224.71186440678,1759828.6779661,2097148,11153373.9661017,2398468.20338983,8754905.76271186,8,2089033.89830508,40002.9830508475,-947,3640,20,6634,22867.92872,note9
5750640,509001.559322034,2217.5593220339,1762664,2097148,12199076.0677966,2430711.59322034,9768364.47457627,8,2277864.40677966,40962.0169491526,-947,3640,20,6461,22271.58388,note9
5750640,503652.689655172,2212.94827586207,1762659.31034483,2097148,11463755.2413793,3150354.55172414,8313400.68965517,8,2205517.24137931,41943.724137931,-984.965517241379,3640,20,5092,18256.2176662069,note9
5750640,504641.966101695,2213.42372881356,1762647.52542373,2097148,11025832.2711864,1952776.6779661,9073055.59322034,8,2236000,42920.0508474576,-1314,3640,20,5347,25574.48712,note9
5750640,504892.677966102,2213.98305084746,1762644.81355932,2097148,11440807.0338983,1918167.16949153,9522639.86440678,8,2171881.3559322,43908.6271186441,-1314,3640,20,6666,31883.21136,note9
5750640,518402.175438597,2227.22807017544,1762645.26315789,2097148,12250876.1754386,3100237.85964912,9150638.31578947,8,2227333.33333333,44892.4210526316,-1316.38596491228,3640,20,6432,30819.8600757895,note9
5750640,517845.490196078,2226.3137254902,1762667.84313725,2097148,34617381.2352941,3839450.41176471,30777930.8235294,8,2278058.82352941,45723.0588235294,-1348,3704,20,6550,32704.0976,note9
5750640,537288.842105263,2245.33333333333,1762728,2097148,11032332.6315789,2083165.47368421,8949167.15789474,8,2275228.07017544,46595.350877193,-1348,3704,20,6508,32494.391936,note9
5750640,535401.423728814,2244.54237288136,1763690.71186441,2097148,10994659.6271186,2328715.3559322,8665944.27118644,8,2215508.47457627,47578.4406779661,-1343.32203389831,3704,20,6592,32799.582450983,note9
