total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy
3779000,157683.487179487,1158.93333333333,1029583.69230769,2076824,5944358.87179487,433425.564102564,5510933.30769231,8,1661666.66666667,96902.8205128205,-91.5538461538462,3803,20,207853,72370.1072462923
3779000,105015.118644068,1125.4011299435,1047839.20903955,2076824,5977379.36723164,421736.11299435,5555643.25423729,8,1625559.3220339,101460.446327684,-123.079096045198,3803,20,104746,49028.4395075141
3779000,130897.551912568,1150.52459016393,1047684.83060109,2076824,6275952.33333333,405702.672131148,5870249.66120219,8,1649912.56830601,105473.426229508,-166,3803,20,138274,87292.099652
3779000,135787.820224719,1155.55056179775,1047959.05617978,2076824,6215629.65730337,437320.623595506,5778309.03370787,8,1624707.86516854,109749.134831461,-166,3803,20,145256,91699.822288
3779000,136872.324324324,1155.02702702703,1046314.01081081,2076824,6422543.06486487,445698.437837838,5976844.62702703,8,1665762.16216216,113972.362162162,-72.3189189189189,3803,20,658710,181164.252893351
3779000,133238.22,1151.06,1045988.96,2076824,6427356.25,477822.69,5949533.56,8,1645370,118195.135,-44.905,3803,20,702423,119955.385211445
3779000,150814.637837838,1168.34054054054,1046079.22162162,2076824,6643984.31891892,435933.67027027,6208050.64864865,8,1663913.51351351,122386.827027027,-14.3945945945946,3803,20,463441,25369.9853272919
3779000,144656.294736842,1163.28421052632,1047049.70526316,2076824,6659920.13684211,432931.378947368,6226988.75789474,8,1656052.63157895,126473.921052632,-5.35789473684211,3803,20,421292,8584.27683456842
3779000,129004.351219512,1151.10243902439,1050177.79512195,2076824,5834267.62926829,379832,5454435.62926829,8,1639795.12195122,130901.775609756,-4,3803,20,581990,8853.23188
3779000,143011.165775401,1164.39572192513,1049834.84491979,2076824,5936679.00534759,387838.79144385,5548840.21390374,8,1665443.85026738,135303.652406417,-16.0588235294118,3803,20,587624,35887.2000974118
3779000,164384.273684211,1183.84210526316,1048367.51578947,2076824,5936090.45263158,379011.8,5557078.65263158,8,1665326.31578947,139579.052631579,-56.5,3803,20,586114,125938.022123
3779000,136846.48447205,1180.08695652174,1071982.53416149,2076824,6196091.45962733,404755.161490683,5791336.29813665,8,1658391.30434783,143754.689440994,-40,3803,20,27808,4230.15296
